"month"	"hits"	"regex"	"usergroup"
"200705"	1	"proxy"	"registered"
"200706"	1	"proxy"	"registered"
"200710"	1	"proxy"	"registered"
"200712"	1	"proxy"	"registered"
"200801"	1	"proxy"	"registered"
"200803"	1	"proxy"	"registered"
"200805"	1	"proxy"	"registered"
"200807"	1	"proxy"	"registered"
"200902"	1	"proxy"	"registered"
"200903"	1	"proxy"	"registered"
"201001"	1	"proxy"	"registered"
"201002"	1	"proxy"	"registered"
"201003"	1	"proxy"	"registered"
"201005"	1	"proxy"	"registered"
"201007"	1	"proxy"	"registered"
"201009"	1	"proxy"	"registered"
"201012"	1	"proxy"	"registered"
"201103"	1	"proxy"	"registered"
"201109"	1	"proxy"	"registered"
"201203"	1	"proxy"	"registered"
"200601"	425	"misc"	"registered"
"200602"	640	"misc"	"registered"
"200603"	726	"misc"	"registered"
"200604"	648	"misc"	"registered"
"200605"	713	"misc"	"registered"
"200606"	710	"misc"	"registered"
"200607"	767	"misc"	"registered"
"200608"	931	"misc"	"registered"
"200609"	788	"misc"	"registered"
"200610"	676	"misc"	"registered"
"200611"	503	"misc"	"registered"
"200612"	509	"misc"	"registered"
"200701"	793	"misc"	"registered"
"200702"	500	"misc"	"registered"
"200703"	574	"misc"	"registered"
"200704"	506	"misc"	"registered"
"200705"	563	"misc"	"registered"
"200706"	377	"misc"	"registered"
"200707"	270	"misc"	"registered"
"200708"	342	"misc"	"registered"
"200709"	281	"misc"	"registered"
"200710"	365	"misc"	"registered"
"200711"	283	"misc"	"registered"
"200712"	192	"misc"	"registered"
"200801"	236	"misc"	"registered"
"200802"	234	"misc"	"registered"
"200803"	228	"misc"	"registered"
"200804"	246	"misc"	"registered"
"200805"	338	"misc"	"registered"
"200806"	192	"misc"	"registered"
"200807"	267	"misc"	"registered"
"200808"	157	"misc"	"registered"
"200809"	200	"misc"	"registered"
"200810"	198	"misc"	"registered"
"200811"	161	"misc"	"registered"
"200812"	167	"misc"	"registered"
"200901"	159	"misc"	"registered"
"200902"	150	"misc"	"registered"
"200903"	221	"misc"	"registered"
"200904"	221	"misc"	"registered"
"200905"	160	"misc"	"registered"
"200906"	196	"misc"	"registered"
"200907"	125	"misc"	"registered"
"200908"	125	"misc"	"registered"
"200909"	117	"misc"	"registered"
"200910"	128	"misc"	"registered"
"200911"	88	"misc"	"registered"
"200912"	92	"misc"	"registered"
"201001"	118	"misc"	"registered"
"201002"	95	"misc"	"registered"
"201003"	140	"misc"	"registered"
"201004"	76	"misc"	"registered"
"201005"	89	"misc"	"registered"
"201006"	91	"misc"	"registered"
"201007"	68	"misc"	"registered"
"201008"	74	"misc"	"registered"
"201009"	67	"misc"	"registered"
"201010"	70	"misc"	"registered"
"201011"	71	"misc"	"registered"
"201012"	90	"misc"	"registered"
"201101"	94	"misc"	"registered"
"201102"	104	"misc"	"registered"
"201103"	128	"misc"	"registered"
"201104"	131	"misc"	"registered"
"201105"	111	"misc"	"registered"
"201106"	95	"misc"	"registered"
"201107"	101	"misc"	"registered"
"201108"	136	"misc"	"registered"
"201109"	173	"misc"	"registered"
"201110"	145	"misc"	"registered"
"201111"	143	"misc"	"registered"
"201112"	171	"misc"	"registered"
"201201"	124	"misc"	"registered"
"201202"	120	"misc"	"registered"
"201203"	131	"misc"	"registered"
