"month"	"hits"	"regex"	"usergroup"
"201005"	271	"username"	"anonymous"
"201006"	234	"username"	"anonymous"
"201007"	321	"username"	"anonymous"
"201008"	301	"username"	"anonymous"
"201009"	610	"username"	"anonymous"
"201010"	356	"username"	"anonymous"
"201011"	276	"username"	"anonymous"
"201012"	200	"username"	"anonymous"
"201101"	274	"username"	"anonymous"
"201102"	273	"username"	"anonymous"
"201103"	325	"username"	"anonymous"
"201104"	268	"username"	"anonymous"
"201105"	256	"username"	"anonymous"
"201106"	267	"username"	"anonymous"
"201107"	320	"username"	"anonymous"
"201108"	342	"username"	"anonymous"
"201109"	321	"username"	"anonymous"
"201110"	195	"username"	"anonymous"
"201111"	197	"username"	"anonymous"
"201112"	211	"username"	"anonymous"
"201201"	246	"username"	"anonymous"
"201202"	277	"username"	"anonymous"
"201203"	226	"username"	"anonymous"
"201204"	233	"username"	"anonymous"
"201205"	224	"username"	"anonymous"
"201206"	214	"username"	"anonymous"
"201207"	179	"username"	"anonymous"
"201208"	179	"username"	"anonymous"
"201209"	177	"username"	"anonymous"
"201210"	292	"username"	"anonymous"
"201211"	292	"username"	"anonymous"
"201212"	330	"username"	"anonymous"
"201301"	365	"username"	"anonymous"
"201302"	353	"username"	"anonymous"
"201303"	362	"username"	"anonymous"
"201304"	263	"username"	"anonymous"
"201305"	299	"username"	"anonymous"
"201306"	353	"username"	"anonymous"
"201307"	308	"username"	"anonymous"
"201308"	260	"username"	"anonymous"
"201309"	313	"username"	"anonymous"
"201310"	287	"username"	"anonymous"
"201311"	277	"username"	"anonymous"
"201312"	317	"username"	"anonymous"
"201401"	352	"username"	"anonymous"
"200601"	45	"proxy"	"anonymous"
"200602"	1033	"proxy"	"anonymous"
"200603"	716	"proxy"	"anonymous"
"200604"	726	"proxy"	"anonymous"
"200605"	189	"proxy"	"anonymous"
"200606"	85	"proxy"	"anonymous"
"200607"	264	"proxy"	"anonymous"
"200608"	16	"proxy"	"anonymous"
"200609"	20	"proxy"	"anonymous"
"200610"	389	"proxy"	"anonymous"
"200611"	148	"proxy"	"anonymous"
"200612"	34	"proxy"	"anonymous"
"200701"	132	"proxy"	"anonymous"
"200702"	147	"proxy"	"anonymous"
"200703"	90	"proxy"	"anonymous"
"200704"	94	"proxy"	"anonymous"
"200705"	728	"proxy"	"anonymous"
"200706"	605	"proxy"	"anonymous"
